Biome,Log-OC,Log-SMC
Cropland,2.066059569,-0.06694679
Cropland,1.813989676,-0.052029
Cropland,1.813989676,-0.052029
Cropland,2.717194824,-0.039597182
Cropland,1.569875308,-0.032184683
Cropland,1.740362689,-0.032184683
Cropland,2,-0.032184683
Cropland,1.622581658,-0.030463851
Cropland,1.535113202,-0.019023237
Cropland,1.605548319,-0.014240439
Cropland,1.946388869,-0.00848811
Cropland,1.38369957,-0.002810977
Cropland,2.207608311,-0.001403214
Cropland,1.385606274,0
Cropland,1.421603927,0
Cropland,1.516629796,0
Cropland,1.586265724,0
Cropland,1.822354913,0
Cropland,1.822354913,0
Cropland,2.044203662,0
Cropland,2.444936571,0
Cropland,1.950781977,0.001239072
Cropland,2,0.003091077
Cropland,1.443136757,0.00694886
Cropland,1.168554506,0.015143339
Cropland,2.157973165,0.02451215
Cropland,1.961081934,0.029963223
Cropland,2.109144469,0.029963223
Cropland,2.251811973,0.029963223
Cropland,1.167603149,0.03108254
Cropland,2.383216752,0.034762106
Cropland,1.598543418,0.036268207
Cropland,1.544068044,0.041392685
Cropland,1.957675685,0.046160577
Cropland,1.974445896,0.052529051
Cropland,2.01822482,0.055269089
Cropland,1.639201799,0.057991947
Cropland,1.822354913,0.057991947
Cropland,1.822354913,0.057991947
Cropland,2.425968732,0.06694679
Cropland,1.395129031,0.074486125
Cropland,1.756961951,0.079181246
Cropland,1.594234654,0.084320886
Cropland,1.646263654,0.084320886
Cropland,1.962098621,0.084320886
Cropland,1.740362689,0.089400411
Cropland,1.967815317,0.093421685
Cropland,1.974445896,0.093671783
Cropland,2.076588435,0.096910013
Cropland,1.609008851,0.100815064
Cropland,1.728933228,0.104291967
Cropland,2.052529051,0.104291967
Cropland,1.516629796,0.109144469
Cropland,1.639201799,0.109144469
Cropland,1.822354913,0.109144469
Cropland,2.044203662,0.109144469
Cropland,2.299476168,0.109144469
Cropland,2.2155998,0.109867691
Cropland,1.910776816,0.123384909
Cropland,2.038563395,0.123384909
Cropland,1.762356983,0.128029814
Cropland,1.925753972,0.128029814
Cropland,1.639201799,0.132625565
Cropland,1.698970004,0.132625565
Cropland,2.078925854,0.132625565
Cropland,1.764874839,0.134978674
Cropland,1.53529412,0.146128036
Cropland,1.698970004,0.146128036
Cropland,2.2155998,0.150098252
Cropland,2.500602351,0.151267675
Cropland,1.692721055,0.15490196
Cropland,1.923909831,0.15490196
Cropland,2.01822482,0.15490196
Cropland,2.067655264,0.15490196
Cropland,1.822354913,0.176091259
Cropland,1.822354913,0.176091259
Cropland,1.822354913,0.176091259
Cropland,1.826999818,0.176091259
Cropland,2.125016282,0.176091259
Cropland,2.511883361,0.176091259
Cropland,2.038563395,0.182251568
Cropland,2.009208002,0.194316079
Cropland,1.472426134,0.194380045
Cropland,1.822354913,0.196294645
Cropland,1.853871964,0.196294645
Cropland,1.891298462,0.196294645
Cropland,1.967815317,0.196294645
Cropland,1.971805799,0.196294645
Cropland,2.003091077,0.196294645
Cropland,2.009208002,0.196294645
Cropland,2.920818754,0.199572355
Cropland,1.602059991,0.204119983
Cropland,1.330993219,0.2155998
Cropland,1.653212514,0.2155998
Cropland,1.698970004,0.2155998
Cropland,2.035143736,0.2155998
Cropland,2.759667845,0.222065843
Cropland,1.940231795,0.224939827
Cropland,1.701762905,0.22879761
Cropland,1.793391217,0.232269865
Cropland,1.822354913,0.234083206
Cropland,1.822354913,0.234083206
Cropland,2.013739811,0.234083206
Cropland,2.071882007,0.234083206
Cropland,2.101845231,0.234083206
Cropland,1.977723605,0.239478238
Cropland,1.756961951,0.251811973
Cropland,1.822354913,0.251811973
Cropland,1.981947977,0.251811973
Cropland,2.047552994,0.251811973
Cropland,2.2155998,0.252332814
Cropland,1.808114474,0.255272505
Cropland,1.632023215,0.256992485
Cropland,1.756961951,0.26211193
Cropland,1.853871964,0.26211193
Cropland,3.034762106,0.263241435
Cropland,1.679946767,0.268845312
Cropland,1.822354913,0.268845312
Cropland,1.964461675,0.268845312
Cropland,2,0.268845312
Cropland,2,0.268845312
Cropland,2.015239967,0.268845312
Cropland,2.148705459,0.273001272
Cropland,1.802773725,0.278753601
Cropland,1.808114474,0.285235728
Cropland,1.822354913,0.285235728
Cropland,2.003091077,0.285235728
Cropland,2.032848912,0.285235728
Cropland,2.034284597,0.285235728
Cropland,2.084320886,0.289238471
Cropland,1.967815317,0.290034611
Cropland,1.918329954,0.290511596
Cropland,1.815293058,0.296351733
Cropland,1.653212514,0.301029996
Cropland,1.822354913,0.301029996
Cropland,1.822354913,0.301029996
Cropland,1.891298462,0.301029996
Cropland,1.903089987,0.301029996
Cropland,1.967815317,0.301029996
Cropland,2.033997839,0.301029996
Cropland,2.239478238,0.301029996
Cropland,1.632023215,0.304121073
Cropland,2.021189299,0.304121073
Cropland,1.410174465,0.313264452
Cropland,1.822354913,0.316269962
Cropland,1.947293649,0.316269962
Cropland,2.035143736,0.316269962
Cropland,2.057991947,0.316269962
Cropland,2.109144469,0.316269962
Cropland,3.054357662,0.318758763
Cropland,1.455931956,0.330993219
Cropland,1.756961951,0.330993219
Cropland,1.808114474,0.330993219
Cropland,2.029963223,0.330993219
Cropland,2.029963223,0.330993219
Cropland,1.853871964,0.335314593
Cropland,2.211806811,0.337031174
Cropland,1.594234654,0.338171804
Cropland,2.003091077,0.338171804
Cropland,1.843766528,0.343830444
Cropland,1.922057826,0.350801612
Cropland,2.211806811,0.35383383
Cropland,2,0.359021943
Cropland,1.322219295,0.361727836
Cropland,1.293968141,0.367776603
Cropland,2.071355909,0.371067862
Cropland,1.881221572,0.372385904
Cropland,1.969149556,0.372385904
Cropland,2.15490196,0.372385904
Cropland,2.22862031,0.374748346
Cropland,2.533602611,0.378700651
Cropland,2.464886798,0.380211242
Cropland,2.032848912,0.382788665
Cropland,1.950202532,0.383216752
Cropland,1.853871964,0.385350881
Cropland,2.032561204,0.385350881
Cropland,2.165625825,0.385350881
Cropland,2.079181246,0.391691059
Cropland,3.113943352,0.392110465
Cropland,1.632023215,0.397940009
Cropland,1.853871964,0.397940009
Cropland,1.910776816,0.397940009
Cropland,1.950781977,0.397940009
Cropland,1.978810701,0.397940009
Cropland,2.029963223,0.397940009
Cropland,2.084320886,0.397940009
Cropland,1.632023215,0.399179081
Cropland,2.035715552,0.399179081
Cropland,1.97114326,0.407754991
Cropland,3.034762106,0.412180448
Cropland,1.853871964,0.412580535
Cropland,1.950781977,0.413179975
Cropland,1.895264649,0.413778589
Cropland,1.836143197,0.419719783
Cropland,1.977723605,0.42089833
Cropland,1.891298462,0.422073688
Cropland,1.899194943,0.422073688
Cropland,2.211806811,0.424998241
Cropland,2.669006781,0.425968732
Cropland,1.965308231,0.433655561
Cropland,2,0.433655561
Cropland,2.15490196,0.433655561
Cropland,1.925753972,0.437070738
Cropland,2.903089987,0.438014652
Cropland,2.853292519,0.439332694
Cropland,1.974445896,0.443821566
Cropland,1.552841969,0.444936571
Cropland,1.862472136,0.444936571
Cropland,2.057991947,0.444936571
Cropland,2.084320886,0.444936571
Cropland,2.101599797,0.444936571
Cropland,1.632023215,0.446048722
Cropland,1.552841969,0.455931956
Cropland,1.624723976,0.455931956
Cropland,1.727192566,0.455931956
Cropland,2.057991947,0.455931956
Cropland,2.057991947,0.455931956
Cropland,2.329543153,0.455931956
Cropland,2.027058233,0.458421997
Cropland,3.041392685,0.463644181
Cropland,1.974445896,0.465807589
Cropland,1.552841969,0.466655821
Cropland,1.77555844,0.466655821
Cropland,2,0.466655821
Cropland,2.073980052,0.466655821
Cropland,1.552841969,0.477121255
Cropland,1.632023215,0.477121255
Cropland,1.707570176,0.477121255
Cropland,2.77815125,0.477121255
Cropland,1.895264649,0.479184415
Cropland,1.632023215,0.48734042
Cropland,1.93305321,0.48734042
Cropland,2.057991947,0.48734042
Cropland,1.895264649,0.497324641
Cropland,1.93305321,0.497324641
Cropland,2.084320886,0.497324641
Cropland,1.895264649,0.499294234
Cropland,2.068715812,0.500079577
Cropland,2.479111153,0.500602351
Cropland,2.884606581,0.500602351
Cropland,1.574031268,0.502231975
Cropland,1.967815317,0.504179487
Cropland,2.230448921,0.505149978
Cropland,1.967815317,0.507084478
Cropland,1.967815317,0.507084478
Cropland,2,0.507084478
Cropland,1.990592531,0.509106471
Cropland,1.574031268,0.510927817
Cropland,1.808114474,0.510927817
